time,in,out
2022-06-13 06:30:06,2937.838,-21.95104
2022-06-13 06:30:05,1324.3884,0
2022-06-13 06:30:04,0,0
2022-06-13 06:30:03,0,-14.047924
2022-06-13 06:30:02,0,-53.17645
2022-06-13 06:30:01,0,-48.77563
2022-06-13 06:30:00,0,0
2022-06-13 06:29:59,0,0
2022-06-13 06:29:58,0,0
2022-06-13 06:29:57,0,0
2022-06-13 06:29:56,0,0
2022-06-13 06:29:55,0,0
2022-06-13 06:29:54,0,0
2022-06-13 06:29:53,0,0
2022-06-13 06:29:52,0,0
2022-06-13 06:29:51,0,0
2022-06-13 06:29:50,0,0
2022-06-13 06:29:49,0,0
2022-06-13 06:29:48,0,0
2022-06-13 06:29:47,0,0
2022-06-13 06:29:46,0,0
2022-06-13 06:29:45,0,0
2022-06-13 06:29:44,0,0
2022-06-13 06:29:43,0,0
2022-06-13 06:29:42,0,-4.682434
2022-06-13 06:29:41,0,-7.317566
2022-06-13 06:29:40,0,0
2022-06-13 06:29:39,0,0
2022-06-13 06:29:38,0,0
2022-06-13 06:29:37,0,-7.804243
2022-06-13 06:29:36,0,-12.195757
2022-06-13 06:29:35,0,0
2022-06-13 06:29:34,0,0
2022-06-13 06:29:33,0,0
2022-06-13 06:29:32,0,-14.046796
2022-06-13 06:29:31,0,-21.9532
2022-06-13 06:29:30,0,0
2022-06-13 06:29:29,0,0
2022-06-13 06:29:28,0,0
2022-06-13 06:29:27,0,0
2022-06-13 06:29:26,0,0
2022-06-13 06:29:25,0,0
2022-06-13 06:29:24,0,0
2022-06-13 06:29:23,0,0
2022-06-13 06:29:22,0,0
2022-06-13 06:29:21,0,0
2022-06-13 06:29:20,0,0
2022-06-13 06:29:19,0,0
2022-06-13 06:29:18,0,0
2022-06-13 06:29:17,0,0
2022-06-13 06:29:16,0,0
2022-06-13 06:29:15,0,0
2022-06-13 06:29:14,0,0
2022-06-13 06:29:13,0,-4.682543
2022-06-13 06:29:12,0,-7.317457
2022-06-13 06:29:11,0,0
2022-06-13 06:29:10,0,0
2022-06-13 06:29:09,0,0
2022-06-13 06:29:08,0,0
2022-06-13 06:29:07,0,-7.803935
2022-06-13 06:29:06,0,-12.196065
2022-06-13 06:29:05,0,0
2022-06-13 06:29:04,0,0
2022-06-13 06:29:03,0,0
2022-06-13 06:29:02,0,0
2022-06-13 06:29:01,0,-14.047542
2022-06-13 06:29:00,0,-21.95246
2022-06-13 06:28:59,0,0
2022-06-13 06:28:58,0,0
2022-06-13 06:28:57,0,0
2022-06-13 06:28:56,0,0
2022-06-13 06:28:55,0,0
2022-06-13 06:28:54,0,0
2022-06-13 06:28:53,0,0
2022-06-13 06:28:52,0,0
2022-06-13 06:28:51,0,0
2022-06-13 06:28:50,0,0
2022-06-13 06:28:49,0,-4.681869
2022-06-13 06:28:48,0,-7.318131
2022-06-13 06:28:47,0,0
2022-06-13 06:28:46,0,0
2022-06-13 06:28:45,0,0
2022-06-13 06:28:44,0,0
2022-06-13 06:28:43,0,0
2022-06-13 06:28:42,0,0
2022-06-13 06:28:41,0,0
2022-06-13 06:28:40,0,0
2022-06-13 06:28:39,0,0
