time,usage
2022-06-22 14:45:21,0.5
2022-06-22 14:45:20,0.74813
2022-06-22 14:45:19,0.75
2022-06-22 14:45:18,0.74813
2022-06-22 14:45:17,0.5
2022-06-22 14:45:16,0.995025
2022-06-22 14:45:15,0.5
2022-06-22 14:45:14,0.74813
2022-06-22 14:45:13,0.74813
2022-06-22 14:45:12,0.74813
2022-06-22 14:45:11,0.5
2022-06-22 14:45:10,0.995025
2022-06-22 14:45:09,0.997506
2022-06-22 14:45:08,0.5
2022-06-22 14:45:07,0.995025
2022-06-22 14:45:06,0.501253
2022-06-22 14:45:05,0.74813
2022-06-22 14:45:04,0.74813
2022-06-22 14:45:03,0.5
2022-06-22 14:45:02,0.74813
2022-06-22 14:45:01,0.75188
2022-06-22 14:45:00,0.75
2022-06-22 14:44:59,0.74813
2022-06-22 14:44:58,0.74813
2022-06-22 14:44:57,0.75
2022-06-22 14:44:56,0.995025
2022-06-22 14:44:55,0.250627
2022-06-22 14:44:54,0.74813
2022-06-22 14:44:53,0.74813
2022-06-22 14:44:52,0.5
2022-06-22 14:44:51,0.5
2022-06-22 14:44:50,0.74813
2022-06-22 14:44:49,0.5
2022-06-22 14:44:48,0.74813
2022-06-22 14:44:47,0.5
2022-06-22 14:44:46,1.24378
2022-06-22 14:44:45,0.5
2022-06-22 14:44:44,0.995025
2022-06-22 14:44:43,0.75
2022-06-22 14:44:42,0.74813
2022-06-22 14:44:41,0.997506
2022-06-22 14:44:40,0.74813
2022-06-22 14:44:39,0.75
2022-06-22 14:44:38,0.74813
2022-06-22 14:44:37,0.74813
2022-06-22 14:44:36,0.5
2022-06-22 14:44:35,0.997506
2022-06-22 14:44:34,0.5
2022-06-22 14:44:33,0.74813
2022-06-22 14:44:32,0.5
2022-06-22 14:44:31,0.995025
2022-06-22 14:44:30,0.74813
2022-06-22 14:44:29,0.74813
2022-06-22 14:44:28,0.5
2022-06-22 14:44:27,0.74813
2022-06-22 14:44:26,0.5
2022-06-22 14:44:25,0.75
2022-06-22 14:44:24,0.5
2022-06-22 14:44:23,0.5
2022-06-22 14:44:22,0.74813
2022-06-22 14:44:21,0.74813
2022-06-22 14:44:20,0.995025
2022-06-22 14:44:19,0.997506
2022-06-22 14:44:18,0.5
2022-06-22 14:44:17,0.74813
2022-06-22 14:44:16,0.74813
2022-06-22 14:44:15,0.75
2022-06-22 14:44:14,0.5
2022-06-22 14:44:13,0.74813
2022-06-22 14:44:12,0.75
2022-06-22 14:44:11,0.995025
2022-06-22 14:44:10,0.74813
2022-06-22 14:44:09,1.49626
2022-06-22 14:44:08,3.25815
2022-06-22 14:44:07,0.5
2022-06-22 14:44:06,0.5
