time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-06-07 14:29:13,0,0,0,0,0,0.2512563,0,0,0
2022-06-07 14:29:12,0,0,0,0,0,1.2531328,2.506266,0,0.7518797
2022-06-07 14:29:11,0,0,0.2506266,0,0,1.5037594,6.015038,0,0.5012531
2022-06-07 14:29:10,0,0,0,0,0,0.5,0.25,0,0
2022-06-07 14:29:09,0,0,0,0,0,0.5012531,0,0,0
2022-06-07 14:29:08,0,0,0,0,0,0.2512563,0,0,0
2022-06-07 14:29:07,0,0,0,0,0,0,0.2512563,0,0
2022-06-07 14:29:06,0,0,0,0,0,0.2512563,0.2512563,0,0
2022-06-07 14:29:05,0,0,0,0,0,0.2493766,0.4987531,0,0
2022-06-07 14:29:04,0,0,0,0,0,0.2506266,0.5012531,0,0
2022-06-07 14:29:03,0,0,0,0,0,0,0.2518892,0,0
2022-06-07 14:29:02,0,0,0,0,0,0,0.5,0,0
2022-06-07 14:29:01,0,0,0,0,0,0.2512563,0,0,0
2022-06-07 14:29:00,0,0,0,0,0,0.2512563,0.2512563,0,0
2022-06-07 14:28:59,0,0,0,0,0,0.2512563,0,0,0
2022-06-07 14:28:58,0,0,0,0,0,0,0.2512563,0,0
2022-06-07 14:28:57,0,0,0.25,0,0,0.25,0.25,0,0
2022-06-07 14:28:56,0,0,0,0,0,0.5012531,0,0,0
2022-06-07 14:28:55,0,0,0,0,0,0.25,0.5,0,0
2022-06-07 14:28:54,0,0,0,0,0,0.2512563,0,0,0
2022-06-07 14:28:53,0,0,0,0.2493766,0,0.2493766,0.7481297,0,0
2022-06-07 14:28:52,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:51,0,0,0,0,0,0,0,0,0.2512563
2022-06-07 14:28:50,0,0,0,0,0,0,0.5012531,0,0
2022-06-07 14:28:49,0,0,0,0,0,0.5,0.25,0,0
2022-06-07 14:28:48,0,0,0,0,0,0.2512563,0.2512563,0,0
2022-06-07 14:28:47,0,0,0,0,0,0,0,0,0
2022-06-07 14:28:46,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:45,0,0,0,0,0,0,0.2512563,0,0
2022-06-07 14:28:44,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:43,0,0,0,0,0,0.5012531,0,0,0
2022-06-07 14:28:42,0,0,0,0,0,0.5012531,0.2506266,0,0
2022-06-07 14:28:41,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:40,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:39,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:38,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:37,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:36,0,0,0,0,0,0.2512563,0.2512563,0,0
2022-06-07 14:28:35,0,0,0,0,0,0.2506266,0.2506266,0,0
2022-06-07 14:28:34,0,0,0,0.2506266,0,0,0.2506266,0,0
2022-06-07 14:28:33,0,0,0,0,0,0.25,0.5,0,0
2022-06-07 14:28:32,0,0,0,0,0,0.2512563,0,0,0
2022-06-07 14:28:31,0,0,0,0,0,0.2506266,0.5012531,0,0
