time,guest_nice,guest,steal,softirq,irq,user,system,nice,iowait
2022-05-31 19:25:03,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:25:02,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:25:01,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:25:00,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-05-31 19:24:59,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:58,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:24:57,0,0,0,0.125,0,0.125,0,0,0
2022-05-31 19:24:56,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:24:55,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:24:54,0,0,0,0,0,0,0.2503129,0,0
2022-05-31 19:24:53,0,0,0,0,0,0.2496879,0.1248439,0,0
2022-05-31 19:24:52,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:24:51,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:24:50,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:24:49,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:24:48,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:24:47,0,0,0,0,0,0,0.2496879,0,0
2022-05-31 19:24:46,0,0,0,0,0,0,0,0,0
2022-05-31 19:24:45,0,0,0,0,0,0.1251564,0.2503129,0,0
2022-05-31 19:24:44,0,0,0,0,0,0.125,0.25,0,0
2022-05-31 19:24:43,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:24:42,0,0,0,0.1248439,0,0,0.1248439,0,0
2022-05-31 19:24:41,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:24:40,0,0,0,0,0,0,0.2496879,0,0
2022-05-31 19:24:39,0,0,0,0,0,0.1254705,0.1254705,0,0
2022-05-31 19:24:38,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:24:37,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:24:36,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:35,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:34,0,0,0,0,0,0,0.250941,0,0
2022-05-31 19:24:33,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:24:32,0,0,0,0.1248439,0,0,0.1248439,0,0
2022-05-31 19:24:31,0,0,0,0,0,0.2496879,0.1248439,0,0
2022-05-31 19:24:30,0,0,0,0,0,0,0,0,0
2022-05-31 19:24:29,0,0,0.1254705,0,0,0,0.3764115,0,0
2022-05-31 19:24:28,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:24:27,0,0,0,0.125,0,0,0.125,0,0
2022-05-31 19:24:26,0,0,0,0,0,0,0,0,0
2022-05-31 19:24:25,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:24,0,0,0,0,0,0.1254705,0.1254705,0,0
2022-05-31 19:24:23,0,0,0,0,0,0,0.25,0,0
2022-05-31 19:24:22,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:24:21,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:24:20,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:19,0,0,0,0,0,0.1254705,0.1254705,0,0
2022-05-31 19:24:18,0,0,0,0,0,0,0.2493766,0,0
2022-05-31 19:24:17,0,0,0,0,0,0,0,0,0
2022-05-31 19:24:16,0,0,0,0,0,0,0.2496879,0,0
2022-05-31 19:24:15,0,0,0,0,0,0.1254705,0,0,0
2022-05-31 19:24:14,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:24:13,0,0,0,0,0,0,0.1248439,0,0
2022-05-31 19:24:12,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:24:11,0,0,0,0,0,0,0.1254705,0,0
2022-05-31 19:24:10,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:24:09,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:08,0,0,0,0,0,0,0.2496879,0,0
2022-05-31 19:24:07,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-05-31 19:24:06,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:05,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:04,0,0,0,0,0,0.2503129,0.1251564,0,0
2022-05-31 19:24:03,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:02,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:24:01,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-05-31 19:24:00,0,0,0,0.1246883,0,0,0.1246883,0,0
2022-05-31 19:23:59,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:23:58,0,0,0,0,0,0,0.1254705,0,0
2022-05-31 19:23:57,0,0,0,0.1246883,0,0.1246883,0.1246883,0,0
2022-05-31 19:23:56,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:23:55,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:23:54,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:53,0,0,0,0,0,0.1246883,0.1246883,0,0
2022-05-31 19:23:52,0,0,0,0,0,0,0.2506266,0,0
2022-05-31 19:23:51,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:23:50,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:23:49,0,0,0,0.125,0,0.125,0.125,0,0
2022-05-31 19:23:48,0,0,0,0,0,0.125,0,0,0
2022-05-31 19:23:47,0,0,0,0,0,0,0.2496879,0,0
2022-05-31 19:23:46,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-05-31 19:23:45,0,0,0,0.1248439,0,0,0,0,0
2022-05-31 19:23:44,0,0,0,0,0,0.1246883,0.2493766,0,0
2022-05-31 19:23:43,0,0,0,0,0,0,0.1254705,0,0
2022-05-31 19:23:42,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:23:41,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:40,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-05-31 19:23:39,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:23:38,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:23:37,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:23:36,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:35,0,0,0,0,0,0,0.2506266,0,0
2022-05-31 19:23:34,0,0,0,0,0,0.1253133,0,0,0
2022-05-31 19:23:33,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:32,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:31,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:23:30,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:29,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:23:28,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:27,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:26,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:25,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:23:24,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:23:23,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:22,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:21,0,0,0,0.125,0,0,0.125,0,0
2022-05-31 19:23:20,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:23:19,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:23:18,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:17,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:23:16,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:15,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:14,0,0,0,0,0,0,0.2503129,0,0
2022-05-31 19:23:13,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:12,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:11,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:10,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:09,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:23:08,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:07,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:06,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:23:05,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:04,0,0,0.1251564,0,0,0,0.1251564,0,0
2022-05-31 19:23:03,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:23:02,0,0,0,0,0,0,0,0,0
2022-05-31 19:23:01,0,0,0,0.1248439,0,0.1248439,0.1248439,0,0
2022-05-31 19:23:00,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:59,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:22:58,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:57,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:56,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:22:55,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:54,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:53,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:52,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:51,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:22:50,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:22:49,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:48,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:47,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:22:46,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:22:45,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:44,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:43,0,0,0,0,0,0,0.25,0,0
2022-05-31 19:22:42,0,0,0,0,0,0.1253133,0,0,0
2022-05-31 19:22:41,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:40,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:22:39,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:38,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:37,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:36,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:35,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:22:34,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:33,0,0,0,0.1248439,0,0.1248439,0.1248439,0,0
2022-05-31 19:22:32,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:22:31,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:30,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:29,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:28,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:27,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:22:26,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:22:25,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:22:24,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:22:23,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:22:22,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:21,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:20,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:19,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:18,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:17,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:16,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:22:15,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:14,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:22:13,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:22:12,0,0,0.1248439,0.1248439,0,0.1248439,0,0,0
2022-05-31 19:22:11,0,0,0,0,0,0,0,0,0
2022-05-31 19:22:10,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:09,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:22:08,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:07,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:22:06,0,0,0,0.1251564,0,0,0.1251564,0,0
2022-05-31 19:22:05,0,0,0,0,0,0.2496879,0,0,0
2022-05-31 19:22:04,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:22:03,0,0,0,0.125,0,0,0.125,0,0
2022-05-31 19:22:02,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:22:01,0,0,0,0.1248439,0,0.1248439,0,0,0
2022-05-31 19:22:00,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:21:59,0,0,0,0.125,0,0,0.125,0,0
2022-05-31 19:21:58,0,0,0,0,0,0.2506266,0,0,0
2022-05-31 19:21:57,0,0,0,0,0,0,0.1248439,0,0
2022-05-31 19:21:56,0,0,0,0.1248439,0,0.1248439,0.1248439,0,0
2022-05-31 19:21:55,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:21:54,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:21:53,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:21:52,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:21:51,0,0,0,0.1246883,0,0.1246883,0.1246883,0,0
2022-05-31 19:21:50,0,0,0,0,0,0.1253133,0,0,0
2022-05-31 19:21:49,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:21:48,0,0,0,0,0,0.125,0,0,0
2022-05-31 19:21:47,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:21:46,0,0,0,0.1248439,0,0.1248439,0.1248439,0,0
2022-05-31 19:21:45,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:21:44,0,0,0,0,0,0,0.2503129,0,0
2022-05-31 19:21:43,0,0,0,0,0,0,0,0,0
2022-05-31 19:21:42,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:21:41,0,0,0,0.1251564,0,0.1251564,0,0,0
2022-05-31 19:21:40,0,0,0,0,0,0,0.375,0,0
2022-05-31 19:21:39,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:21:38,0,0,0,0,0,0,0,0,0
2022-05-31 19:21:37,0,0,0,0.1248439,0,0.1248439,0.1248439,0,0
2022-05-31 19:21:36,0,0,0,0,0,0.125,0,0,0
2022-05-31 19:21:35,0,0,0,0,0,0.1253133,0,0,0
2022-05-31 19:21:34,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:21:33,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:21:32,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:21:31,0,0,0,0.125,0,0.125,0.125,0,0
2022-05-31 19:21:30,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:21:29,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:21:28,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:21:27,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-05-31 19:21:26,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:21:25,0,0,0.125,0,0,0,0.125,0,0
2022-05-31 19:21:24,0,0,0,0,0,0.125,0,0,0
2022-05-31 19:21:23,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:21:22,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:21:21,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:21:20,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:21:19,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:21:18,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:21:17,0,0,0,0,0,0,0.1248439,0,0
2022-05-31 19:21:16,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:21:15,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:21:14,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:21:13,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:21:12,0,0,0,0.125,0,0.125,0,0,0
2022-05-31 19:21:11,0,0,0,0,0,0,0.1254705,0,0
2022-05-31 19:21:10,0,0,0,0,0,0.124533,0.124533,0,0
2022-05-31 19:21:09,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:21:08,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:21:07,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:21:06,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:21:05,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:21:04,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:21:03,0,0,0,0,0,0.25,0,0,0
2022-05-31 19:21:02,0,0,0,0.125,0,0,0.25,0,0
2022-05-31 19:21:01,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:21:00,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:59,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:58,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:20:57,0,0,0,0,0,0.125,0.25,0,0
2022-05-31 19:20:56,0,0,0,0,0,0,0.25,0,0
2022-05-31 19:20:55,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:54,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:53,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:52,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:51,0,0,0,0,0,0,0.25,0,0
2022-05-31 19:20:50,0,0,0,0,0,0,0,0,0
2022-05-31 19:20:49,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:48,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:20:47,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:46,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:45,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:44,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:20:43,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:20:42,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:20:41,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:20:40,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:39,0,0,0,0,0,0,0.25,0,0
2022-05-31 19:20:38,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:20:37,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:20:36,0,0,0,0,0,0,0,0,0
2022-05-31 19:20:35,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:34,0,0,0,0,0,0.25,0.125,0,0
2022-05-31 19:20:33,0,0,0,0,0,0,0.2503129,0,0
2022-05-31 19:20:32,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:31,0,0,0,0.125,0,0,0.125,0,0
2022-05-31 19:20:30,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:20:29,0,0,0,0,0,0.1248439,0.1248439,0,0.1248439
2022-05-31 19:20:28,0,0,0,0,0,0.3759398,0.2506266,0,0
2022-05-31 19:20:27,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:20:26,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:25,0,0,0,0,0,0.1246883,0.1246883,0,0
2022-05-31 19:20:24,0,0,0.1248439,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:20:23,0,0,0,0,0,0,0,0,0
2022-05-31 19:20:22,0,0,0,0,0,0.124533,0.124533,0,0
2022-05-31 19:20:21,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:20,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:19,0,0,0,0.125,0,0.125,0.125,0,0
2022-05-31 19:20:18,0,0,0,0,0,0,0.25,0,0
2022-05-31 19:20:17,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:16,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:15,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:20:14,0,0,0,0,0,0,0.2503129,0,0
2022-05-31 19:20:13,0,0,0,0,0,0.1251564,0,0,0
2022-05-31 19:20:12,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:11,0,0,0,0,0,0.2496879,0.1248439,0,0
2022-05-31 19:20:10,0,0,0,0,0,0,0,0,0
2022-05-31 19:20:09,0,0,0,0,0,0.125,0.25,0,0
2022-05-31 19:20:08,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:07,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:06,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:20:05,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:04,0,0,0,0,0,0,0.1253133,0,0
2022-05-31 19:20:03,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:02,0,0,0,0,0,0.2496879,0,0,0
2022-05-31 19:20:01,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:20:00,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:19:59,0,0,0,0,0,0.1251564,0.2503129,0,0
2022-05-31 19:19:58,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:19:57,0,0,0,0,0,0.1251564,0.1251564,0,0
2022-05-31 19:19:56,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:19:55,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:19:54,0,0,0,0,0,0.1254705,0.1254705,0,0
2022-05-31 19:19:53,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:19:52,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:19:51,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:19:50,0,0,0,0,0,0.1254705,0,0,0
2022-05-31 19:19:49,0,0,0,0,0,0,0.125,0,0
2022-05-31 19:19:48,0,0,0,0,0,0.125,0.125,0,0
2022-05-31 19:19:47,0,0,0,0,0,0.1253133,0.1253133,0,0
2022-05-31 19:19:46,0,0,0,0,0,0.3740648,0.1246883,0,0
2022-05-31 19:19:45,0,0,0,0.125,0,0,0,0,0
2022-05-31 19:19:44,0,0,0,0,0,0.1248439,0.2496879,0,0
2022-05-31 19:19:43,0,0,0,0,0,0,0.2506266,0,0
2022-05-31 19:19:42,0,0,0,0,0,0.125,0,0,0
2022-05-31 19:19:41,0,0,0,0,0,0,0.1251564,0,0
2022-05-31 19:19:40,0,0,0,0,0,0,0.2506266,0,0
2022-05-31 19:19:39,0,0,0,0,0,0.25,0,0,0
2022-05-31 19:19:38,0,0,0,0,0,0.1248439,0.1248439,0,0
2022-05-31 19:19:37,0,0,0,0.1251564,0,0.1251564,0.1251564,0,0
